Age,Edu,lnk,grp
41,11,-3.721402646,5
54,12,-5.944580961,8
47,12,-6.821577583,7
39,12,-4.565949473,7
56,18,-5.925676807,5
42,12,-3.257097038,8
33,12,2.235376343,7
53,11,-2.652142569,8
54,18,-5.995472569,5
43,9,-9.200390041,7
55,13,-3.363901597,4
54,13,-3.381394754,5
31,15,-3.473768074,8
34,12,-4.290359446,7
48,12,1.991975516,8
39,12,-3.358137892,4
28,15,-4.342805922,8
58,13,-6.914779894,8
31,12,-2.831914188,5
35,12,-4.390058806,5
46,10,-6.821577583,7
47,12,-4.884884089,5
44,12,-4.750195958,5
52,12,-8.322449115,5
36,13,-5.643628552,8
47,15,-5.956097403,5
52,12,-4.84089252,8
52,12,-4.954727662,5
50,12,-2.973970782,7
50,12,-7.397145622,3
49,12,-5.786077717,5
50,12,-2.805111914,8
65,15,-6.935126476,8
38,12,-4.51899249,8
48,14,-2.748872196,8
46,15,-3.162968193,7
37,11,-4.813425125,7
56,12,-3.141914784,3
39,14,-5.399243285,3
48,11,-5.143024482,7
31,12,-2.040220829,7
39,12,-3.221378955,3
35,12,-8.881036625,7
55,12,-4.661740537,3
35,15,-6.986798486,3
51,12,-3.066154738,7
58,14,-4.830816868,8
53,11,-2.18036746,8
20,13,-0.986176859,8
45,12,-6.133028111,7
43,12,-6.725433722,5
47,12,-5.428426052,7
35,14,-5.747734362,8
46,10,-4.79270531,7
22,12,-5.741484342,8
56,13,0.75612198,7
54,12,-2.975929646,8
39,12,-1.435484605,8
50,14,-2.704556312,8
27,11,-8.852665928,8
41,15,-2.606396547,7
39,12,-2.61319467,8
36,12,-5.41036687,7
50,12,1.101940079,4
55,13,-1.903808973,3
39,12,-3.17725415,7
55,11,-0.991553216,4
45,9,-6.660895201,7
61,13,-4.89686028,7
55,12,-5.217659464,3
27,14,-4.456750181,6
53,12,-3.742280231,8
50,11,-5.50411228,8
29,12.5,-2.327902901,8
26,12,-2.999740295,8
55,14,-3.304978524,6
25,16,-4.92675381,4
27,12,-1.877317358,8
53,11,-5.111008268,8
46,12,-0.024292693,6
32,14,-5.343314732,8
49,11,-0.234457311,8
38,9,-7.363461604,6
40,12,-4.907627544,6
34,12,-0.954511945,8
27,12,-3.473768074,8
54,13,-6.821577583,8
34,11,-5.437579434,8
25,12,-3.39620984,8
25,16,-4.971895466,4
38,12,-3.897134393,8
45,16,-6.444021263,5
31,10,3.109060959,5
50,12,-1.820158944,7
50,14,-5.146455017,8
44,12,-1.87716239,7
51,12,-0.187844672,6
44,12,-0.6907851,7
31,12,-3.395735993,6
23,12,-4.483837901,8
58,13.5,-5.440470099,6
39,12,-4.529701916,6
58,13,-5.963398681,8
51,12,-5.596688838,7
35,12,-3.37965104,6
55,12,-3.641614262,7
56,12,-4.861927104,8
41,15,-4.426063721,7
44,12,-3.001646258,4
51,12,-2.716337371,3
52,13,-4.953752197,3
42,12,-1.303054618,5
50,13,-0.633563813,8
47,15,-2.856015058,2
22,12,-0.093088357,2
31,14,-5.730968555,2
59,15,-0.970270654,2
48,13,-7.248862595,2
25,10,-2.222435023,2
41,14,-0.157970207,2
35,13,-1.585724733,2
